date,us_Refugees_Granted_Asylum,us_AnnualChange,Ge_Asylum,Ge_AnnualChange,France_Refugees,Fr_AnnualChange,Canada_Refugees,Canada_AnnualChange
31-12-60,500000,0,197000,0,245935,0,48629,0
31-12-61,500000,0,190000,-3.55,253375,3.03,44492,-8.51
31-12-62,500000,0,185000,-2.63,259740,2.51,12282,-72.4
31-12-63,500000,0,182000,-1.62,174057,-32.99,10946,-10.88
31-12-64,500000,0,180000,-1.1,175861,1.04,10178,-7.02
31-12-65,510000,2,180000,0,177665,1.03,9980,-1.95
31-12-66,500000,-1.96,140000,-22.22,179468,1.01,10225,2.45
31-12-67,480000,-4,112000,-20,177200,-1.26,9991,-2.29
31-12-68,498000,3.75,110000,-1.79,176736,-0.26,17950,79.66
31-12-69,500000,0.4,113000,2.73,175242,-0.85,19275,7.38
31-12-70,500000,0,115000,1.77,158543,-9.53,18518,-3.93
31-12-71,530000,6,125000,8.7,141844,-10.53,17196,-7.14
31-12-72,530000,0,125000,0,98900,-30.28,20933,21.73
31-12-73,530000,0,125000,0,101830,2.96,13358,-36.19
31-12-74,530000,0,123000,-1.6,105538,3.64,11410,-14.58
31-12-75,530000,0,122000,-0.81,109882,4.12,16349,43.29
31-12-76,500000,-5.66,122000,0,114634,4.32,27387,67.51
31-12-77,684700,36.94,120000,-1.64,119413,4.17,29537,7.85
31-12-78,734000,7.2,83500,-30.42,126229,5.71,31295,5.95
31-12-79,734000,0,87000,4.19,119489,-5.34,57913,85.06
31-12-80,403684,-45,94000,8.05,121958,2.07,92679,60.03
31-12-81,537375,33.12,100000,6.38,125597,2.98,96415,4.03
31-12-82,620257,15.42,100000,0,152223,21.2,107591,11.59
31-12-83,655532,5.69,115000,15,164113,7.81,120947,12.41
31-12-84,626909,-4.37,126600,10.09,169863,3.5,112966,-6.6
31-12-85,492806,-21.39,475000,275.2,174213,2.56,92194,-18.39
31-12-86,398633,-19.11,547900,15.35,180258,3.47,98743,7.1
31-12-87,365726,-8.25,596200,8.82,179306,-0.53,104843,6.18
31-12-88,377769,3.29,610200,2.35,183946,2.59,116434,11.06
31-12-89,411496,8.93,628500,3,180258,-2,135752,16.59
31-12-90,464887,12.97,816000,29.83,193000,7.07,154761,14
31-12-91,513885,10.54,821500,0.67,174756,-9.45,170916,10.44
31-12-92,579938,12.85,1236000,50.46,156512,-10.44,183723,7.49
31-12-93,623056,7.43,1418000,14.72,166269,6.23,183241,-0.26
31-12-94,631046,1.28,1354600,-4.47,195288,17.45,186555,1.81
31-12-95,623279,-1.23,1267900,-6.4,155240,-20.51,152110,-18.46
31-12-96,607005,-2.61,1266000,-0.15,151331,-2.52,138427,-9
31-12-97,563813,-7.12,1049000,-17.14,146558,-3.15,125176,-9.57
31-12-98,533951,-5.3,949200,-9.51,140213,-4.33,119355,-4.65
31-12-99,521134,-2.4,975500,2.77,129722,-7.48,123303,3.31
31-12-00,508209,-2.48,906000,-7.12,132508,2.15,126991,2.99
31-12-01,515851,1.5,903000,-0.33,131601,-0.68,129227,1.76
31-12-02,485173,-5.95,980001,8.53,132182,0.44,129935,0.55
31-12-03,452536,-6.73,960393,-2,130838,-1.02,133088,2.43
31-12-04,420788,-7.02,876614,-8.72,139852,6.89,141402,6.25
31-12-05,379330,-9.85,699996,-20.15,137316,-1.81,147164,4.07
31-12-06,843434,122.35,605329,-13.52,145996,6.32,151832,3.17
31-12-07,281154,-66.67,578866,-4.37,151789,3.97,175728,15.74
31-12-08,279468,-0.6,582719,0.67,171206,12.79,173642,-1.19
31-12-09,275393,-1.46,593787,1.9,196364,14.69,169424,-2.43
31-12-10,264505,-3.95,594250,0.08,200687,2.2,165544,-2.29
31-12-11,264752,0.09,571672,-3.8,210207,4.74,164879,-0.4
31-12-12,262006,-1.04,589735,3.16,217865,3.64,163751,-0.68
31-12-13,263653,0.63,187545,-68.2,232487,6.71,160347,-2.08
31-12-14,267214,1.35,216956,15.68,252248,8.5,149164,-6.97
31-12-15,273198,2.24,316098,45.7,273117,8.27,135890,-8.9
31-12-16,272963,-0.09,669468,111.79,304527,11.5,97322,-28.38
31-12-17,287135,5.19,970357,44.94,337158,10.72,104768,7.65
31-12-18,313242,9.09,1063835,9.63,368345,9.25,114101,8.91
31-12-19,341715,9.09,1146682,7.79,407915,10.74,101757,-10.82
31-12-20,340846,-0.25,1210596,5.57,436055,6.9,109214,7.33
31-12-21,339179,-0.49,1255694,3.73,499914,14.64,130125,19.15
